nome,site,uf,observacao
MURILO CARDOZO CHAVES,murilochaves.com.br,RJ,JUCERJA; Rio de Janeiro
JONAS RYMER,rymerleiloes.com.br,RJ,JUCERJA 079; desde 1999
DEONIZIA KIRATCH,deonizialeiloes.com.br,AC,JUCEAC 004/2010; atua em AC/AM/RO/RJ/DF
DANYLLO DE OLIVEIRA MAIA,dmleiloesjudiciais.com.br,TO,Palmas/TO; atua em DF
MATEUS GONÇALVES BORBA ASSUNÇÃO,,DF,JUCIS-DF 76; possivelmente assuncaoleiloes.com.br
PAULO HENRIQUE DE ALMEIDA TOLENTINO,paulotolentino.com.br,DF,JUCIS-DF 19; desde 2000
JOSÉ LUIZ PEREIRA VIZEU,flexleiloes.com.br,DF,JUCIS-DF 037; atua em DF/GO/MG
LUCIANO GONÇALVES BORBA ASSUNÇÃO,leiloeirosdebrasilia.com.br,DF,JUCIS-DF 75; Brasília
ANA LÚCIA BORBA ASSUNÇÃO,leiloeirosdebrasilia.com.br,DF,JUCIS-DF 05; mesmo escritório de Luciano
MOACIRA TEGONI GOEDERT,moacira.lel.br,DF,JUCIS-DF 63; Brasília
GIOVANO AVILA ALVES,soleiloes.com.br,SC,JUCESC AARC/237; Florianópolis
FERNANDO GONÇALVES COSTA,multleiloes.com,DF,JUCIS-DF; Brasília; desde 1999
CESAR LUIS MORESCO,morescoleiloes.com.br,SC,JUCESC; Brusque/SC
JUSSIARA SANTOS ERMANO SUKIENNIK,jussiara.com.br,DF,JUCIS-DF; Brasília; desde 2012
ROSSANA PAIVA BORGES DE OLIVEIRA,,TO,JUCEPA 011/2008; Palmas/TO; sem site próprio
MARIA APARECIDA DE FREITAS FUZO,alvaroleiloes.com.br,GO,JUCEG 046; opera junto ao escritório Álvaro Fuzo
EDEYLSON PEIXOTO FIDELIS,fidelisleiloes.com.br,RN,JUCERN 0112/2016; Natal/RN
WESLEY SILVA RAMOS,wrleiloes.com.br,RR,JUCERR; Boa Vista
VIRIATO DOMINGUES CRAVO,cravoleiloes.com.br,BA,JUCEB 15/055964-0; atua em BA e SP
ARTHUR FERREIRA NUNES,arthurnunes.leilao.br,BA,JUCEB 05/260040-8; atua em BA/SE/DF/MG/SP
JOÃO PAULO MINEIRO BEZERRA,,BA,Registrado FENAJU/JUCEB; sem site próprio
RAFAELA SANTOS RIBEIRO DO VALE,rafaelaribeiroleiloes.com.br,BA,JUCEB 18/005133-4
TÁBATA MINEIRO BEZERRA,bezerraleiloes.com.br,BA,Ibotirama/BA
MAURICIO PAES INACIO,hastaleiloes.com.br,BA,JUCEB 11/023515-0; Hasta Leilões
PERICLES LUCIANO SANTOS DE JESUS,centraldosleiloes.com.br,BA,JUCEB 13/003851-2; Terra Nova/BA
MIGUEL PAULO RODRIGUES DA SILVA,,BA,JUCEB 0017691/97; Salvador; email: mpleiloes@mpleiloes.com.br
JOSÉ DAVID GONÇALVES DE MELO,jdleiloes.com.br,PE,JUCEPE 18/2021; Recife
PAULO CÉZAR ROCHA TEIXEIRA,leiloesjudiciaisbahia.com.br,BA,JUCEB; Salvador; 15 anos de experiência
HIDIRLENE DUSZEIKO,hdleiloes.com.br,ES,JUCEES 052; atua em ES e RJ; desde 2007
SUED PETER BASTOS DYNA,suedpeterleiloes.com.br,ES,JUCEES 039/1993; Vila Velha/ES
SANDRO DE OLIVEIRA,norteleiloes.com.br,PA,JUCEPA 20070555214; Belém/PA
VICTOR OLIVEIRA DORTA,victordortaleiloes.com.br,TO,JUCEMAT 2018; atua em TO/MT/PA/MA
CESAR AUGUSTO ARAGÃO PEREIRA,aragaoleiloes.com.br,PE,JUCEPE 384; Recife/PE
JIMMY ASAMI,asamileiloes.com.br,AM,Manaus/AM; desde 2009
CELSO ALVES CUNHA,celsocunhaleiloes.com.br,CE,JUCEC 013; Fortaleza; atua em CE/PI/RN
MARCUS DANTAS NEPOMUCENO,mnleilao.com.br,RN,JUCERN 059/94; Natal; 30 anos de experiência
MIGUEL ALEXANDRINO MONTEIRO NETO,leiloesmonteiro.com.br,PB,JUCEP; Cabedelo/PB
SUZANA CONCEIÇÃO MEDEIROS DE CARVALHO,suzanacarvalholeiloes.com.br,PI,JUCEPI 04/96; Teresina/PI
JOSÉ CARLOS ZINGRA,jcleiloeiro.com,AP,JUCEAP; Macapá/AP e Brasília/DF
FÁBIO GOMES PIETOSO,pietosoleiloes.com.br,RS,JUCISRS 114/95; Porto Alegre
CARMEN GOMES PIETOSO,pietosoleiloes.com.br,RS,JUCISRS 075/89; mesmo escritório de Fábio
JAIME LUIZ NULMAN,,RS,JUCISRS 346/2016; sem site próprio identificado
